"cohortDefinitionId","conceptId","regimenName","modality"
1,35102004,"FOLFOX4 (L-Leucovorin)","Chemotherapy"
1,35102008,"FOLFIRI (L-Leucovorin)","Chemotherapy"
1,35803688,"Bevacizumab monotherapy","Chemotherapy"
1,35803692,"Irinotecan monotherapy","Chemotherapy"
1,35804227,"Capecitabine monotherapy","Chemotherapy"
1,35804257,"S-1 monotherapy","Chemotherapy"
1,35804569,"Regorafenib monotherapy","Chemotherapy"
1,35804755,"CapeOx","Chemotherapy"
1,35804759,"Tegafur, Uracil, Folinic acid","Chemotherapy"
1,35804761,"FOLFIRI","Chemotherapy"
1,35804763,"Hepatic arterial chemotherapy","Chemotherapy"
1,35804764,"Intraperitoneal 5-FU","Chemotherapy"
1,35804765,"Intraperitoneal hyperthermic mitomycin","Chemotherapy"
1,35804767,"CAPIRI","Chemotherapy"
1,35804768,"CAPIRI-Bev","Chemotherapy"
1,35804769,"Fluorouracil monotherapy","Chemotherapy"
1,35804771,"FOLFIRINOX","Chemotherapy"
1,35804781,"IROX","Chemotherapy"
1,35804784,"SOX","Chemotherapy"
1,35804789,"Trifluridine and tipiracil monotherapy","Chemotherapy"
1,35804795,"Cetuximab monotherapy","Chemotherapy"
1,35804800,"Panitumumab monotherapy","Chemotherapy"
1,35806596,"FOLFOX","Chemotherapy"
1,35803677,"Nivolumab monotherapy","Immunotherapy"
1,35803678,"Pembrolizumab monotherapy","Immunotherapy"
3,35101451,"Paclitaxel, Pertuzumab, Ado-trastuzumab emtansine","Chemotherapy"
3,35101507,"AC-T","Chemotherapy"
3,35101986,"CM","Chemotherapy"
3,35803573,"Cisplatin monotherapy","Chemotherapy"
3,35803688,"Bevacizumab monotherapy","Chemotherapy"
3,35803690,"Cyclophosphamide monotherapy","Chemotherapy"
3,35804134,"Doxorubicin monotherapy","Chemotherapy"
3,35804135,"Gemcitabine monotherapy","Chemotherapy"
3,35804162,"Docetaxel monotherapy","Chemotherapy"
3,35804166,"Paclitaxel monotherapy","Chemotherapy"
3,35804168,"Pemetrexed monotherapy","Chemotherapy"
3,35804199,"AC","Chemotherapy"
3,35804201,"TH (Taxol)","Chemotherapy"
3,35804203,"THL (Taxol)","Chemotherapy"
3,35804204,"TL (Taxol)","Chemotherapy"
3,35804210,"DE","Chemotherapy"
3,35804211,"EC","Chemotherapy"
3,35804212,"FEC","Chemotherapy"
3,35804214,"EDC","Chemotherapy"
3,35804215,"EP","Chemotherapy"
3,35804216,"FAC","Chemotherapy"
3,35804217,"THP (Taxotere)","Chemotherapy"
3,35804218,"PET","Chemotherapy"
3,35804219,"TAC (Taxotere)","Chemotherapy"
3,35804220,"TH (Taxotere)","Chemotherapy"
3,35804222,"Trastuzumab monotherapy","Chemotherapy"
3,35804224,"CMF","Chemotherapy"
3,35804225,"THP (Taxol)","Chemotherapy"
3,35804226,"AT (Taxol)","Chemotherapy"
3,35804227,"Capecitabine monotherapy","Chemotherapy"
3,35804228,"Epirubicin monotherapy","Chemotherapy"
3,35804232,"TC (Taxotere)","Chemotherapy"
3,35804239,"iddEPC","Chemotherapy"
3,35804241,"Vinorelbine monotherapy","Chemotherapy"
3,35804242,"VH","Chemotherapy"
